Rent (weekly) Ranges (RNTD01),lga,$0 - $49,$50 - $74,$75 - $99,$100 - $119,$120 - $139,$140 - $159,$160 - $179,$180 - $199,$200 - $224,$225 - $249,$250 - $274,$275 - $299,$300 - $349,$350 - $449,$450 - $549,$550 and over,Not stated,Not applicable,
,Umagico (S),12,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,
,Waggamba (S),179,14,11,17,13,4,3,9,10,0,3,3,4,0,0,3,22,1008,
,Wambo (S),169,41,47,50,31,23,13,5,8,0,4,0,0,3,0,0,31,1907,
,Warraber (IC),20,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,
,Warroo (S),71,15,19,8,9,0,0,0,0,0,0,0,0,0,0,0,7,443,
,Warwick (S),169,76,122,242,283,346,327,197,153,56,42,15,3,4,3,12,64,7206,
,Weipa (T),470,24,8,10,8,17,8,4,13,10,11,5,23,21,29,28,84,477,
,Whitsunday (S),145,60,56,112,101,183,140,166,231,144,168,107,173,184,60,275,147,6214,
,Winton (S),54,30,20,23,12,3,0,3,0,0,0,0,0,0,0,0,17,676,
,Wondai (S),86,36,32,35,52,54,19,9,3,0,0,0,0,0,0,3,16,1701,
,Woocoo (S),31,3,5,15,12,19,5,7,10,3,9,0,0,0,0,0,11,1198,
,Woorabinda (S),42,72,25,12,7,10,3,0,0,0,0,0,0,0,0,3,19,69,
,Wujal Wujal (S),24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,
,Yarrabah (S),55,60,168,23,4,3,0,0,0,0,0,0,0,0,0,0,24,144,
,Yorke (IC),25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,
,Unincorporated Qld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,
,Adelaide (C),139,308,123,102,93,163,188,192,335,238,348,279,500,418,109,143,156,5198,
,Adelaide Hills (DC),158,49,62,95,103,125,140,139,243,91,118,54,71,50,15,15,62,13209,
,Alexandrina (DC),159,83,81,124,120,255,297,171,148,45,48,10,9,3,8,16,66,10474,
,Anangu Pitjantjatjara (AC),307,42,12,8,3,0,0,0,0,0,0,0,0,0,0,3,51,311,
,Barossa (DC),120,109,55,92,121,185,214,181,191,81,50,18,19,10,4,15,61,7249,
,Barunga West (DC),27,17,29,31,35,20,4,3,3,0,0,0,3,0,3,0,6,1557,
