Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Monash (C),169,89,234,400,775,342,600,537,770,948,975,1608,1391,2480,2050,1060,755,383,1416,46004,
,Moonee Valley (C),98,49,139,222,467,224,393,360,494,503,684,1052,865,1516,1413,844,608,350,1014,34827,
,Moorabool (S),18,19,64,122,258,121,238,178,300,240,383,473,362,462,210,83,58,41,329,6207,
,Moreland (C),90,58,177,300,664,359,541,564,753,771,1024,1487,1318,2176,1503,744,481,251,1122,44916,
,Mornington Peninsula (S),134,122,309,482,947,528,852,711,1063,1024,1448,2061,1666,2328,1503,706,580,394,1633,59458,
,Mount Alexander (S),16,18,54,126,245,94,188,116,200,135,172,203,120,121,71,25,14,11,179,6182,
,Moyne (S),25,8,43,92,173,79,130,78,122,100,130,147,70,94,71,35,22,45,233,5479,
,Murrindindi (S),11,10,26,82,180,65,144,106,154,129,181,187,144,166,95,46,25,28,172,5446,
,Nillumbik (S),63,56,105,198,414,189,356,317,447,493,636,950,860,1449,1082,601,428,227,773,10480,
,Northern Grampians (S),11,15,34,107,200,98,172,113,115,81,86,63,38,42,35,12,4,5,134,4658,
,Port Phillip (C),50,20,64,124,280,111,222,197,255,318,409,706,685,1152,1159,898,894,607,709,40357,
,Pyrenees (S),9,4,28,54,109,38,81,36,53,36,59,50,13,15,18,12,0,9,88,2655,
,Queenscliffe (B),0,0,6,9,18,3,10,9,16,20,17,10,13,16,13,10,4,3,28,2430,
,South Gippsland (S),20,16,74,143,324,156,237,201,242,206,252,321,197,204,136,65,44,63,354,10658,
,Southern Grampians (S),25,15,61,125,225,88,169,123,131,110,148,127,77,79,46,15,22,18,175,6000,
,Stonnington (C),59,32,79,118,252,123,201,168,232,324,332,600,587,973,1080,848,928,1013,896,36228,
,Strathbogie (S),3,6,45,70,133,46,106,66,81,71,71,72,45,55,28,15,12,25,126,3778,
,Surf Coast (S),25,9,37,96,136,79,149,117,152,159,217,277,205,355,253,140,96,55,278,11702,
,Swan Hill (RC),15,11,48,97,224,112,199,121,214,155,192,173,115,92,73,18,18,21,251,6667,
,Towong (S),8,8,31,41,90,34,57,35,60,33,51,57,34,52,31,14,6,5,79,2320,
,Wangaratta (RC),29,28,51,140,294,184,297,176,334,229,369,354,177,222,115,43,31,25,265,8186,
,Warrnambool (C),42,13,50,100,239,92,279,181,307,218,348,414,300,337,133,67,34,30,263,9309,
,Wellington (S),42,37,150,265,556,261,422,321,417,362,442,384,246,275,171,72,66,71,462,14652,
,West Wimmera (S),3,4,25,49,82,38,25,17,25,13,12,10,8,4,6,3,3,0,73,1867,
,Whitehorse (C),165,96,219,384,784,423,656,653,814,939,1102,1753,1597,2601,2205,1073,664,370,1291,41676,
,Whittlesea (C),77,48,157,329,787,416,675,636,1012,953,1286,1811,1654,2532,1322,573,376,197,1259,26484,
,Wodonga (RC),28,17,60,117,227,120,256,225,340,281,461,608,437,517,245,94,61,33,275,8925,
,Wyndham (C),90,54,175,310,758,424,825,772,1075,1095,1687,2655,2047,2971,1629,666,400,218,1259,21801,
,Yarra (C),54,32,58,113,245,102,167,137,202,285,298,553,481,930,970,724,633,374,481,27941,
,Yarra Ranges (S),152,116,297,613,1335,712,1221,1047,1504,1431,2064,2925,2274,2937,1509,690,421,266,1838,30302,
,Yarriambiack (S),8,8,70,104,137,41,58,37,23,18,18,13,5,15,4,6,3,6,73,2934,
,Unincorporated Vic,0,0,0,3,0,3,3,0,0,4,3,0,3,13,6,0,3,3,12,1465,
