lga,Other Religions,Not stated,Supplementary codes,Buddhism,Christianity,Hinduism,Islam,Judaism,No Religion
Adelaide Hills (DC),228,4750,325,326,20761,28,39,44,11358
Alexandrina (DC),108,3287,137,94,11174,9,24,3,5881
Anangu Pitjantjatjara (AC),12,333,3,4,1337,3,0,0,540
Barossa (DC),89,1906,117,41,13854,6,10,0,4524
Barunga West (DC),9,331,8,4,1700,0,0,0,487
Berri and Barmera (DC),141,1264,57,25,6628,4,20,0,2790
Burnside (C),325,4235,268,783,26596,346,310,197,8898
Campbelltown (C),532,4213,281,701,32544,318,332,53,7188
Ceduna (DC),4,447,15,9,2384,0,3,0,704
Charles Sturt (C),467,10050,673,2747,67092,321,1240,53,17894
Clare and Gilbert Valleys (DC),32,870,43,24,5473,3,3,3,1691
Cleve (DC),0,229,7,0,1292,0,4,0,365
Coober Pedy (DC),7,467,10,12,1022,5,10,0,376
Copper Coast (DC),25,1419,37,21,7134,11,16,6,2778
Elliston (DC),6,105,9,0,781,3,0,0,227
Flinders Ranges (DC),0,297,3,8,996,0,0,0,420
Franklin Harbour (DC),0,143,3,0,791,0,0,0,342
Gawler (T),77,2396,123,93,11506,12,19,6,4688
Goyder (DC),23,423,16,20,2856,3,4,0,834
Grant (DC),11,1073,44,13,4721,0,3,0,1995
Holdfast Bay (C),145,3848,256,272,21176,77,109,51,7365
Kangaroo Island (DC),12,600,15,53,2133,0,4,0,1449
Karoonda East Murray (DC),7,117,5,8,861,0,6,0,170
Kimba (DC),0,112,0,0,669,0,0,0,327
Kingston (DC),8,321,6,0,1436,0,0,0,545
Le Hunte (DC),10,137,6,0,946,3,0,0,220
Light (RegC),37,1485,104,37,7622,14,10,0,3062
Lower Eyre Peninsula (DC),5,586,16,13,2697,0,0,0,1085
Loxton Waikerie (DC),129,1183,63,15,7941,0,23,0,2245
Mallala (DC),44,1237,40,31,4350,0,3,6,2191
Maralinga Tjarutja (AC),0,13,0,0,69,0,0,0,23
Marion (C),604,8415,669,985,47731,405,708,61,19127
Mid Murray (DC),53,1225,61,29,4749,5,4,0,1915
Mitcham (C),416,6137,483,683,37896,309,485,81,15370
Mount Barker (DC),199,3392,254,216,14772,13,28,19,7551
Mount Gambier (C),59,2748,121,87,14088,10,49,7,6327
Mount Remarkable (DC),3,380,11,8,1826,0,0,0,616
Murray Bridge (RC),48,2495,101,43,10353,5,191,4,4440
Naracoorte and Lucindale (DC),13,889,36,62,5152,9,12,0,1899
Northern Areas (DC),13,524,15,5,3136,3,0,0,956
Norwood Payneham St Peters (C),257,3676,308,536,20807,268,261,52,7565
Onkaparinga (C),973,19085,1183,738,82658,249,387,83,44375
Orroroo/Carrieton (DC),0,69,3,0,703,3,0,0,144
Peterborough (DC),5,285,10,10,1081,0,7,0,504
Playford (C),382,10621,518,1037,35811,34,223,16,21377
Port Adelaide Enfield (C),658,13025,848,4716,58600,752,2070,41,22211
Port Augusta (C),63,2409,57,34,7704,14,25,0,3578
Port Lincoln (C),42,1795,67,55,8058,14,8,0,3568
Port Pirie City and Dists (M),39,1941,48,20,11104,14,40,14,3917
Prospect (C),179,1969,145,355,12031,305,200,17,4092
Renmark Paringa (DC),178,1241,52,62,5632,0,211,0,2063
Robe (DC),0,593,0,0,763,0,0,3,337
Roxby Downs (M),14,554,26,13,2048,10,12,0,1366
Salisbury (C),677,15019,726,4799,65795,318,1254,36,29793
Southern Mallee (DC),9,182,9,3,1537,0,3,0,385
Streaky Bay (DC),0,232,5,10,1288,0,4,0,481
Tatiara (DC),10,831,36,21,4398,8,13,0,1547
Tea Tree Gully (C),562,10260,617,610,59861,197,579,34,23258
The Coorong (DC),21,764,41,6,3503,11,4,0,1318
Tumby Bay (DC),7,290,7,3,1667,0,4,0,553
Unley (C),211,3580,314,529,22020,203,234,76,8833
Victor Harbor (C),56,1691,80,42,7301,3,3,5,2829
Wakefield (DC),17,833,28,11,4088,0,0,0,1394
Walkerville (M),46,763,43,106,4539,110,27,8,1329
Wattle Range (DC),35,1452,54,33,7102,4,13,6,3195
West Torrens (C),391,5066,500,913,33868,301,899,37,10187
Whyalla (C),60,3144,86,66,11575,34,38,3,6400
Yankalilla (DC),23,664,24,30,2141,0,3,0,1268
Yorke Peninsula (DC),24,1248,40,31,7703,0,7,0,2141
Unincorporated SA,15,532,19,11,2050,3,0,0,1114
No Usual Address,28,420,50,43,1226,16,30,4,803
Albany (C),158,4208,224,180,17744,27,65,8,8970
Armadale (C),293,6928,397,358,28685,49,258,32,13543
Ashburton (S),112,1080,44,36,2857,9,26,0,1927
Augusta-Margaret River (S),63,1539,131,114,5122,6,11,9,3352
Bassendean (T),84,1497,120,227,8059,30,102,14,3328
Bayswater (C),389,6112,508,2159,33457,326,1008,520,11314
Belmont (C),143,4056,301,674,17738,106,875,18,6414
Beverley (S),17,131,7,3,1048,0,0,0,366
Boddington (S),18,155,12,8,793,0,3,0,388
Boyup Brook (S),3,162,3,5,979,0,0,0,330
Bridgetown-Greenbushes (S),38,465,31,32,2189,0,4,7,1193
Brookton (S),0,121,3,0,644,0,4,0,209
Broome (S),27,2870,99,118,6879,12,37,6,3003
Broomehill (S),0,71,0,4,294,0,0,0,103
Bruce Rock (S),0,95,9,0,653,0,0,0,194
Bunbury (C),114,3840,204,197,18206,25,110,14,6988
Busselton (S),80,3199,189,169,15008,18,24,12,6657
Cambridge (T),133,2609,146,266,15403,84,85,98,4923
Canning (C),646,8283,569,3600,44475,1178,2632,42,15883
Capel (S),35,1138,60,44,6229,11,7,0,2683
Carnamah (S),0,120,3,0,442,0,0,0,181
Carnarvon (S),22,784,35,161,3401,15,16,3,1250
Chapman Valley (S),4,113,0,3,564,0,3,0,221
Chittering (S),7,527,21,21,1876,0,0,0,1055
Claremont (T),36,1078,50,119,5646,34,41,37,1899
Cockburn (C),446,8385,525,894,47638,242,567,44,15726
Collie (S),24,1156,52,36,4984,6,0,0,2350
Coolgardie (S),14,699,22,25,1861,11,35,0,1137
Coorow (S),0,153,9,5,721,0,0,0,320
Corrigin (S),0,116,10,0,791,0,0,0,225
Cottesloe (T),29,1210,47,57,4260,6,3,24,1607
Cranbrook (S),3,124,10,9,652,0,8,0,265
Cuballing (S),5,85,4,7,468,0,3,3,206
Cue (S),0,65,7,0,182,0,0,0,62
Cunderdin (S),7,109,4,6,845,0,0,0,281
Dalwallinu (S),4,141,4,10,928,0,0,0,280
Dandaragan (S),15,479,12,20,1676,0,9,0,677
Dardanup (S),24,1178,44,51,6288,5,59,3,2683
Denmark (S),54,652,58,74,2011,11,8,7,1636
Derby-West Kimberley (S),120,831,33,29,4101,11,10,0,1376
Donnybrook-Balingup (S),14,538,28,38,2743,6,12,6,1352
Dowerin (S),0,81,9,3,457,0,0,0,154
Dumbleyung (S),0,53,0,0,433,0,0,0,142
Dundas (S),10,140,12,8,595,3,8,0,288
East Fremantle (T),47,867,67,93,3932,12,18,7,1653
East Pilbara (S),242,1425,37,66,2899,3,34,0,1832
