lga,Bachelor Degree Level,Advanced Diploma and Diploma Level,Level of education not stated,Level of education inadequately described,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Certificate Level,Not applicable,
Murray Bridge (RC),480,549,1743,169,39,83,2507,12117,
Naracoorte and Lucindale (DC),405,384,528,86,23,52,1165,5438,
Northern Areas (DC),218,182,353,56,18,40,583,3200,
Norwood Payneham St Peters (C),5736,2268,3019,371,1388,766,3445,16738,
Onkaparinga (C),8637,7922,10282,1538,1241,1200,25658,93254,
Orroroo/Carrieton (DC),49,32,60,8,0,6,127,643,
Peterborough (DC),58,51,221,15,8,5,215,1337,
Playford (C),1711,2091,6375,593,161,198,9420,49470,
Port Adelaide Enfield (C),7151,4653,11180,980,1281,918,13825,62937,
Port Augusta (C),502,441,1818,111,45,88,2117,8748,
Port Lincoln (C),618,497,1324,173,82,83,2118,8706,
Port Pirie City and Dists (M),583,488,1534,112,52,75,2343,11954,
Prospect (C),2934,1307,1455,206,663,388,2227,10107,
Renmark Paringa (DC),312,334,930,114,27,35,1124,6580,
Robe (DC),63,63,401,32,4,10,203,931,
Roxby Downs (M),338,147,282,35,38,30,774,2416,
Salisbury (C),4786,4454,9985,1127,614,498,17609,79349,
Southern Mallee (DC),92,98,119,10,8,9,252,1545,
Streaky Bay (DC),80,63,173,20,3,13,280,1389,
Tatiara (DC),271,307,513,99,19,31,915,4700,
Tea Tree Gully (C),6874,6084,5995,1011,988,894,16133,57991,
The Coorong (DC),191,205,482,61,12,18,685,4009,
Tumby Bay (DC),108,93,226,41,7,25,317,1728,
Unley (C),6796,2733,2846,361,1774,939,3327,17221,
Victor Harbor (C),641,746,1273,159,119,108,1923,7044,
Wakefield (DC),229,209,576,65,19,33,843,4401,
Walkerville (M),1327,537,586,96,375,158,558,3331,
Wattle Range (DC),445,411,894,143,34,63,1633,8264,
West Torrens (C),5531,3038,4798,551,918,648,7106,29558,
Whyalla (C),970,624,1905,206,115,115,3602,13874,
Yankalilla (DC),218,223,483,51,42,39,657,2434,
Yorke Peninsula (DC),427,404,1012,113,44,62,1639,7486,
Unincorporated SA,132,129,428,14,12,19,588,2419,
No Usual Address,231,128,324,34,49,15,416,1423,
Albany (C),1920,1777,2956,392,229,273,4793,19227,
Armadale (C),2425,2444,4637,583,313,306,8154,31681,
Ashburton (S),317,206,681,50,49,45,1140,3598,
Augusta-Margaret River (S),869,695,950,155,101,131,1644,5804,
Bassendean (T),1160,827,1250,157,179,160,2001,7724,
Bayswater (C),5920,3659,5545,687,885,703,7853,30546,
Belmont (C),2315,1624,3601,313,340,237,4308,17596,
Beverley (S),84,83,137,17,4,11,187,1044,
