Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Northam (T),0,0,88,11,3,0,0,0,0,0,0,0,0,66,3,0,7,13,15,21,22,3,15,36,63,0,96,100,0,49,53,18,0,241,208,119,8,89,44,88,0,8,0,8,11,0,31,59,10,10,0,42,161,0,240,5,0,377,273,169,23,3,10,18,0,55,123,0,0,22,
,Northam (S),0,0,164,5,0,0,0,0,0,3,3,3,0,3,0,0,4,0,0,66,10,0,8,0,0,0,6,23,0,9,4,5,0,17,10,4,3,25,26,6,0,0,0,0,0,0,6,0,0,0,0,8,15,0,7,0,0,53,13,8,0,0,0,12,0,5,5,0,0,8,
,Northampton (S),0,0,300,8,0,28,0,0,0,17,12,3,3,7,0,0,0,3,0,0,0,7,7,3,0,0,28,25,10,7,0,6,0,61,47,38,8,183,20,0,5,0,0,9,3,3,4,7,0,3,0,15,21,0,45,0,0,102,67,19,10,0,6,4,0,15,11,0,0,12,
,Nungarin (S),0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,
,Peppermint Grove (S),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,19,0,0,0,4,0,18,39,0,5,34,0,0,0,0,0,3,0,0,0,14,0,10,0,24,53,0,19,0,0,213,5,4,0,0,4,11,0,15,23,0,0,14,
,Perenjori (S),0,0,133,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,23,0,0,0,0,0,0,0,0,3,0,0,5,
,Perth (C),62,0,91,10,50,5,0,87,2706,2387,221,1887,518,224,120,17,1374,113,24,356,237,267,248,1352,22,42,2739,880,215,439,815,477,85,1174,4356,524,351,5697,241,102,92,138,19,1049,186,66,3060,5857,3194,3499,145,2656,25263,19,14325,49,15,2472,7419,1463,344,384,1026,401,37,653,4175,0,3,1172,
,Pingelly (S),0,0,154,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,7,10,0,0,17,7,7,6,10,14,0,0,0,0,0,0,0,3,0,0,7,0,0,7,0,24,0,0,33,19,6,6,0,0,3,0,3,3,0,0,8,
,Plantagenet (S),13,0,628,18,12,4,12,0,0,0,3,0,5,414,0,7,3,0,5,4,7,11,12,0,0,0,25,58,0,35,3,26,3,75,45,56,9,60,58,0,0,0,0,10,0,0,11,6,0,7,0,22,36,0,83,0,0,138,105,18,10,0,0,3,0,9,22,0,0,19,
,Port Hedland (T),3,0,26,0,0,0,0,0,0,842,62,73,81,5,3,0,3,13,16,174,34,0,54,13,17,0,349,339,49,56,80,14,6,196,180,92,41,206,176,12,49,23,3,71,0,11,32,33,0,0,0,143,309,0,177,4,0,370,314,150,21,4,3,25,0,47,106,0,0,89,
,Quairading (S),0,0,173,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,9,14,0,0,14,10,17,3,6,9,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,27,0,0,41,28,0,3,0,0,0,0,5,0,0,0,4,
,Ravensthorpe (S),3,0,270,3,0,0,0,3,0,112,0,29,59,3,0,0,0,8,6,142,9,0,20,6,3,0,362,259,93,11,22,4,0,22,31,18,4,66,30,0,0,0,0,6,4,0,0,0,0,0,0,17,76,0,39,0,0,52,31,9,0,0,0,0,0,0,10,0,0,20,
,Rockingham (C),12,0,204,22,3,23,0,0,3,18,6,25,23,41,77,158,87,81,38,195,231,74,159,11,7,0,455,1001,28,172,128,132,31,1763,1795,585,142,706,357,4,17,3,0,47,27,8,138,185,19,93,4,463,985,0,484,2398,0,2092,1194,898,69,12,46,312,0,461,267,0,0,180,
,Roebourne (S),0,0,22,7,0,16,0,0,499,989,185,297,60,11,15,0,11,106,26,74,82,9,71,70,55,0,628,627,116,127,82,32,20,318,293,200,36,381,157,4,96,88,0,161,7,11,43,60,3,9,0,191,506,0,283,33,0,568,242,149,18,19,16,31,0,83,209,0,0,177,
,Sandstone (S),0,0,9,0,0,0,0,0,0,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,
,Serpentine-Jarrahdale (S),3,0,371,26,13,5,3,0,3,0,8,9,3,79,8,25,6,7,78,22,17,9,21,5,6,0,78,225,13,128,23,35,5,111,70,80,13,68,144,0,0,0,0,6,0,7,18,27,0,12,0,52,95,0,100,0,0,184,80,60,6,0,15,80,7,45,87,0,0,32,
,Shark Bay (S),0,0,10,0,0,22,0,0,0,8,41,0,0,11,0,0,0,0,3,3,0,0,3,0,0,0,8,11,0,0,0,4,0,28,12,8,0,89,3,0,15,0,0,6,0,0,3,0,0,0,0,4,3,0,56,0,0,27,0,8,0,0,4,3,0,0,5,0,0,3,
,South Perth (C),8,0,36,8,0,3,0,3,7,59,5,73,25,30,11,5,34,20,4,19,42,14,27,4,3,0,315,257,7,33,23,97,15,725,316,107,31,815,40,0,8,4,0,62,3,0,80,150,80,298,9,594,1668,3,984,0,0,1214,960,584,74,19,187,84,6,305,139,0,0,116,
,Stirling (C),46,0,185,29,12,38,4,0,8,29,7,116,84,1357,328,189,1583,317,214,672,1691,627,632,170,356,3,2592,2672,65,587,1425,1988,307,4216,6173,1852,420,2146,672,8,3,11,0,199,92,46,504,792,251,681,38,1169,5587,3,1830,3,0,5501,2964,3026,279,474,133,846,27,1260,886,0,3,711,
,Subiaco (C),12,0,21,7,3,5,0,0,3,38,4,83,23,41,29,27,204,27,12,6,118,24,35,6,12,0,382,249,27,32,174,199,28,737,1015,96,88,1382,21,0,3,3,0,152,15,0,100,369,87,391,19,480,3714,3,280,3,0,3043,3945,566,171,176,86,411,15,387,219,0,0,177,
,Swan (C),48,0,522,64,8,5,6,4,28,38,45,152,107,807,508,287,282,391,1123,933,1354,644,971,38,58,0,1185,2156,62,669,1448,935,183,2173,2438,1031,300,1264,1048,34,6,443,3,118,33,21,371,335,47,131,7,661,2030,0,1620,511,0,2710,1681,930,125,40,140,337,14,547,1077,3,3,527,
,Tambellup (S),0,0,137,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,
,Tammin (S),0,0,95,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,
,Three Springs (S),0,0,129,6,0,0,0,0,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0,8,9,0,0,5,0,3,5,0,0,6,4,0,0,7,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,11,31,0,0,0,0,0,0,0,3,0,0,3,
,Toodyay (S),0,0,153,4,0,0,0,0,0,0,0,0,3,4,0,7,7,0,7,0,4,3,5,0,0,0,21,51,3,7,7,4,0,24,38,21,8,57,17,0,0,0,0,3,0,0,8,5,0,9,0,35,22,0,46,0,0,68,14,22,0,0,3,3,0,15,14,0,0,21,
,Trayning (S),0,0,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0,
,Upper Gascoyne (S),0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,0,0,16,0,25,0,0,0,0,0,0,3,0,0,4,
,Victoria Park (T),8,0,21,7,3,4,0,0,10,29,13,77,42,93,54,55,260,487,91,108,320,93,216,12,6,0,429,546,20,91,373,304,55,659,743,974,100,1456,119,5,3,9,0,185,13,9,132,137,78,209,8,256,2195,3,588,3,3,3783,603,895,106,19,149,1455,39,257,459,4,0,217,
,Victoria Plains (S),0,0,238,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,22,0,3,0,10,0,3,3,24,19,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,14,0,0,26,0,3,0,0,0,0,0,0,9,0,0,5,
,Vincent (T),10,0,6,3,0,3,0,0,8,15,0,43,8,119,91,13,224,44,28,12,83,41,46,181,1040,0,263,318,14,48,189,373,44,740,717,269,72,969,112,63,24,5,5,125,0,43,136,140,77,224,8,360,2879,0,1009,0,0,1006,602,595,59,92,73,191,12,436,243,0,0,178,
,Wagin (S),0,0,217,22,5,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,9,0,10,0,3,0,10,15,0,13,13,4,0,32,22,29,4,16,20,12,0,0,0,0,0,0,5,11,0,0,0,3,16,0,33,0,0,50,41,12,3,6,0,0,0,9,6,0,0,0,
,Wandering (S),0,0,97,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
,Wanneroo (C),19,0,840,45,19,45,0,0,15,17,42,105,51,231,119,363,139,303,295,859,426,480,506,28,27,5,949,1970,103,414,328,445,77,1971,1334,1274,139,575,548,19,4,4,0,66,19,10,224,169,28,78,10,386,1048,0,739,24,0,2535,787,772,66,15,69,241,13,515,259,0,4,303,
,Waroona (S),0,0,119,0,0,0,0,0,0,97,0,29,32,9,0,6,0,4,3,750,3,0,17,3,0,0,40,192,6,5,20,4,0,56,28,31,9,55,41,0,0,0,0,0,0,0,4,6,0,0,0,22,67,0,58,0,0,77,34,27,3,0,0,18,0,20,10,0,0,29,
,West Arthur (S),0,0,249,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,7,4,0,0,9,4,6,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,23,0,0,25,0,3,0,0,4,0,0,3,0,0,0,3,
,Westonia (S),0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,5,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
,Wickepin (S),0,0,211,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,15,0,0,0,3,3,3,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,29,4,0,0,0,0,0,0,3,4,0,0,0,
,Williams (S),0,0,218,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,19,0,0,0,7,16,29,0,20,10,0,0,4,0,4,0,0,0,0,0,0,0,3,3,0,22,0,0,13,6,3,0,0,3,0,0,0,5,0,0,3,
,Wiluna (S),0,0,18,5,0,0,0,51,0,640,3,170,51,0,0,0,0,3,0,161,7,0,9,11,0,0,14,26,0,6,9,0,0,6,0,0,0,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,17,0,0,17,12,3,0,0,0,0,0,0,30,0,0,16,
,Wongan-Ballidu (S),0,0,259,21,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,14,10,0,5,0,3,0,4,16,0,21,44,0,0,33,23,32,3,16,17,0,0,0,0,0,17,0,3,10,3,0,0,0,13,0,38,0,0,54,34,11,0,0,4,0,0,10,4,0,0,8,
,Woodanilling (S),0,0,107,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,
,Unincorporated WA,0,0,3,0,0,17,0,0,199,0,0,109,0,0,0,0,0,7,0,0,27,0,3,16,0,0,59,16,0,0,0,0,0,0,25,0,0,26,0,0,31,0,0,10,0,0,0,0,0,0,0,3,37,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,
,Wyalkatchem (S),0,0,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,9,8,11,6,7,19,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,19,0,0,24,27,0,3,0,0,0,0,0,4,0,0,0,
,No fixed address,205,0,740,515,133,230,16,25,247,745,85,634,273,305,26,84,94,152,125,239,367,95,357,169,84,4,5336,14143,344,199,314,417,86,383,767,570,314,513,2055,35,181,81,8,555,48,52,584,170,44,50,6,219,4118,3,643,102,0,858,938,1316,170,72,182,337,49,1685,343,0,4,1240,
,Wyndham-East Kimberley (S),5,0,206,42,23,10,0,0,0,14,551,60,17,42,3,0,4,7,28,24,17,11,13,14,14,0,60,110,6,15,22,18,3,113,141,97,22,223,51,0,12,82,0,55,3,0,21,10,0,0,0,35,158,0,293,0,0,249,148,122,12,10,22,11,0,18,187,0,0,66,
,Yalgoo (S),0,0,20,0,0,0,0,0,29,56,166,20,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,6,0,12,7,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,11,0,0,9,3,0,0,0,0,0,0,0,3,0,0,3,
,Yilgarn (S),0,0,193,6,0,0,0,0,0,286,0,64,23,0,0,0,0,4,0,11,4,0,5,3,9,0,11,7,0,5,11,0,5,15,6,30,0,58,47,0,0,0,0,0,4,0,4,11,0,0,0,0,18,0,30,0,0,42,29,6,0,0,0,0,0,0,8,0,0,7,
,York (S),0,0,232,32,0,0,0,0,0,0,0,0,0,8,0,0,3,5,4,3,8,12,3,0,0,0,8,42,0,29,5,3,0,63,57,17,7,70,12,0,0,0,0,6,6,0,8,8,3,0,0,15,46,0,40,0,0,67,53,13,4,0,7,8,0,8,24,0,0,6,
,WA Undefined,60,0,478,66,15,51,0,55,74,782,71,223,103,109,15,27,23,69,45,243,80,20,129,34,17,3,497,635,71,50,48,100,26,341,232,78,62,412,237,34,50,31,4,65,20,16,64,46,17,13,0,66,543,0,221,53,0,274,258,222,46,25,26,100,6,94,110,0,0,269,
,Hobart Undefined,0,0,3,0,3,4,0,0,0,0,0,0,0,7,0,0,3,0,4,5,16,3,0,4,0,0,29,17,0,6,4,4,0,44,55,12,3,82,18,0,8,4,0,10,3,0,5,11,9,5,0,7,47,0,95,5,0,45,28,13,4,24,29,12,0,11,17,0,0,16,
,Break O'Day (M),0,0,131,6,41,58,0,61,0,0,0,0,0,17,0,16,3,0,11,0,22,5,5,8,0,0,39,48,3,4,7,16,0,127,87,28,12,204,37,0,4,0,0,11,0,0,21,14,3,3,0,24,34,0,89,0,0,157,124,64,9,3,12,7,0,24,25,0,0,15,
,Brighton (M),0,0,35,3,21,0,3,0,0,0,9,0,0,12,3,26,0,5,14,17,4,17,7,3,0,0,69,89,3,41,13,11,8,186,55,47,8,49,158,0,0,0,0,3,0,0,11,3,0,3,0,17,59,0,111,0,0,281,75,91,9,6,9,37,0,32,48,0,0,20,
,Burnie (C),13,0,135,3,78,4,0,0,0,46,30,13,21,332,10,344,170,46,21,155,708,18,40,46,6,0,180,240,6,94,158,83,21,570,732,317,57,317,331,28,73,3,0,113,3,3,80,110,49,80,0,130,815,0,777,0,0,870,966,446,49,25,20,37,0,134,184,0,0,80,
,Central Coast (M),5,0,461,39,59,0,3,0,0,0,0,0,0,414,9,45,23,60,32,44,94,29,26,27,8,0,186,130,0,29,49,129,5,403,317,139,18,276,144,0,0,0,0,24,0,0,45,40,6,6,0,50,221,0,201,0,0,447,262,232,21,0,21,34,0,96,60,0,0,45,
,Central Highlands (M),0,0,256,11,15,20,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,41,3,0,3,11,0,3,0,0,0,10,3,7,4,72,19,0,3,0,0,0,0,0,5,0,0,0,0,4,7,0,51,0,0,37,11,0,0,0,7,0,0,4,8,0,0,4,
,Circular Head (M),12,0,648,35,113,77,3,0,0,10,50,6,3,465,0,161,13,13,3,33,17,6,17,14,3,0,59,76,3,53,22,65,0,180,134,65,18,153,71,0,4,0,0,14,4,0,17,18,6,13,0,25,208,0,83,0,0,209,105,83,0,0,17,11,0,34,28,0,0,29,
,Clarence (C),12,0,174,10,7,129,0,0,0,4,3,6,3,147,43,139,34,15,64,113,61,53,34,18,9,0,342,474,16,105,53,175,20,1178,949,202,64,548,177,0,0,168,4,87,9,3,196,111,31,87,0,276,524,0,664,22,0,1265,528,704,58,28,79,199,0,257,557,0,0,133,
,Derwent Valley (M),0,0,100,3,49,10,0,0,0,0,0,3,0,15,3,452,17,0,0,11,7,0,19,24,0,0,44,49,4,15,3,13,0,133,102,39,9,114,50,0,0,0,0,8,0,0,12,17,0,4,0,24,82,0,132,0,0,228,167,78,15,0,18,7,0,30,29,0,0,24,
,Devonport (C),3,0,206,28,38,8,5,0,0,3,0,3,0,499,313,105,42,34,32,174,162,78,47,87,37,0,239,352,9,148,177,286,14,772,908,363,49,454,347,5,371,6,0,259,25,7,87,115,32,53,3,146,744,0,457,9,0,859,426,547,32,26,28,94,5,220,176,0,0,111,
,Dorset (M),6,0,509,22,130,20,0,0,0,7,3,0,0,41,0,291,3,9,0,4,21,6,21,9,3,0,30,54,0,45,19,34,4,156,106,33,11,137,129,0,10,0,0,5,0,0,18,20,0,0,0,23,55,0,102,19,0,165,115,30,9,0,5,16,0,36,18,0,0,37,
,Flinders (M),0,0,107,3,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,8,0,0,14,10,0,6,0,5,0,18,6,8,3,28,3,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,47,0,0,27,14,15,6,0,0,0,0,3,11,0,0,3,
,George Town (M),0,0,86,3,13,0,0,0,0,4,0,13,0,78,3,94,0,16,3,915,18,5,22,32,0,0,55,95,5,33,13,20,7,90,72,33,10,108,51,7,11,0,0,106,0,0,10,6,0,11,0,20,92,0,62,0,0,135,60,73,3,0,10,3,0,32,23,0,0,35,
,Glamorgan/Spring Bay (M),0,0,132,5,32,119,0,0,0,0,3,0,0,45,0,64,0,0,3,5,33,3,6,0,0,0,46,37,3,3,0,36,0,86,58,21,11,302,33,0,5,0,0,11,0,0,16,0,0,0,0,22,51,0,63,4,0,64,54,19,4,0,29,6,0,11,14,0,0,15,
,Glenorchy (C),9,0,16,0,4,7,0,0,4,13,0,3,0,1106,317,212,154,184,72,777,657,123,122,480,12,0,673,780,29,216,275,510,80,1086,1463,501,121,467,757,63,3,370,3,138,36,10,248,116,21,51,3,256,784,3,552,73,0,1073,675,766,73,21,62,257,5,266,164,0,0,162,
,Hobart (C),21,0,61,16,204,56,5,0,3,25,0,4,3,298,104,46,593,50,38,97,145,100,64,924,5,5,543,570,21,206,359,508,48,1557,2950,866,184,3076,260,21,59,22,0,387,13,17,574,851,539,739,16,662,4389,3,7145,153,6,3948,5269,1786,200,342,471,644,8,675,1429,0,0,332,
,Huon Valley (M),0,0,463,6,110,352,3,0,0,0,0,0,0,99,20,55,16,26,39,23,23,16,10,12,0,0,70,110,0,40,19,85,5,229,191,78,16,202,90,0,3,0,0,18,6,0,26,23,0,3,5,46,107,0,169,0,0,313,163,136,12,0,43,13,0,56,22,0,0,44,
,Kentish (M),3,0,207,0,17,0,0,0,0,0,10,0,3,8,0,10,3,12,143,12,10,0,7,43,0,0,39,30,0,6,0,20,0,56,47,19,4,192,53,0,0,0,0,4,0,0,8,4,0,0,0,5,39,0,39,0,0,80,38,54,3,3,23,7,3,10,9,0,0,24,
,King Island (M),0,0,200,3,0,29,0,0,0,0,0,0,0,163,0,0,0,14,0,3,0,0,0,5,0,0,11,13,0,4,6,21,0,45,17,8,10,34,8,0,3,9,0,16,0,0,3,3,0,0,0,7,18,0,48,0,0,45,37,10,0,0,3,0,0,3,5,0,0,14,
,Kingborough (M),6,0,126,12,4,122,0,0,0,0,14,4,0,83,23,45,38,22,31,63,210,59,42,11,0,0,315,250,19,34,37,85,8,619,760,104,21,278,105,0,11,0,0,30,3,0,266,49,10,24,0,94,366,0,462,0,0,695,298,420,28,7,49,61,3,117,62,0,0,103,
,Latrobe (M),3,0,335,67,19,9,6,0,0,4,3,0,0,59,3,325,0,28,5,28,13,6,12,0,3,0,102,105,3,24,27,30,0,132,121,34,9,125,110,0,3,3,0,7,5,3,4,10,0,0,0,23,47,0,144,0,0,180,424,50,10,0,12,22,0,38,16,0,0,34,
,Launceston (C),16,0,237,24,168,29,6,0,0,0,19,6,3,482,183,493,396,120,132,467,328,236,145,270,33,3,551,856,22,435,753,742,72,2039,2780,941,157,1600,681,87,22,15,10,203,38,16,511,1069,247,323,12,496,2332,3,1728,31,0,3109,2938,1689,176,149,136,316,4,556,573,0,0,284,
,Meander Valley (M),7,0,679,36,49,5,9,0,0,3,10,4,6,70,12,50,6,225,37,42,43,32,14,8,3,0,131,186,15,75,53,49,3,300,206,101,28,347,122,0,4,0,0,23,0,5,28,35,3,11,0,34,130,0,210,0,0,320,147,202,25,0,31,269,0,50,70,0,0,55,
,Northern Midlands (M),3,0,592,44,47,9,4,0,0,0,3,10,0,271,8,57,5,55,74,92,15,6,23,21,0,0,69,87,3,48,32,108,7,151,121,80,20,169,177,3,3,55,7,65,3,3,59,5,0,0,0,87,120,0,142,0,0,156,178,109,15,4,13,36,0,38,23,0,0,43,
,Sorell (M),3,0,112,4,9,47,0,0,0,0,3,0,0,165,3,22,0,16,13,13,12,10,10,9,3,0,62,85,0,11,3,41,3,249,140,54,17,114,59,0,4,0,0,10,0,0,16,10,9,5,0,27,95,0,116,0,0,165,76,96,7,7,10,15,3,38,25,0,0,24,
,Southern Midlands (M),3,0,395,19,16,0,0,0,0,0,0,0,0,9,17,8,0,3,13,7,0,7,7,0,3,0,12,21,0,15,4,9,0,29,30,14,9,33,33,0,0,0,0,0,0,0,12,11,0,0,0,3,13,0,57,0,0,110,21,34,5,0,5,13,0,8,4,0,0,22,
,Tasman (M),0,0,65,4,3,43,0,0,0,0,3,0,0,17,0,4,3,0,0,3,3,0,6,3,0,0,6,17,0,3,0,10,0,21,8,12,4,110,14,0,3,0,0,0,0,0,3,0,0,0,0,9,11,0,44,0,0,46,30,8,0,0,104,3,0,5,8,0,0,18,
,Waratah/Wynyard (M),3,0,356,3,18,11,3,0,0,76,96,3,9,27,4,102,4,15,7,102,92,8,23,0,3,0,63,80,3,45,140,105,3,234,161,59,14,189,76,0,0,11,0,13,0,3,22,15,0,0,0,30,110,0,116,0,0,274,104,188,13,6,8,6,0,59,21,0,0,40,
,West Coast (M),3,0,3,0,3,57,0,0,0,401,3,149,30,4,0,11,0,0,3,31,43,0,16,24,7,0,43,50,3,9,32,8,0,118,31,28,5,316,62,7,25,0,0,16,0,0,16,8,0,3,0,5,55,0,82,0,0,136,73,22,6,0,22,3,0,23,26,0,0,16,
,West Tamar (M),4,0,182,12,9,45,0,0,0,70,18,11,5,78,4,64,6,10,16,35,33,21,21,28,3,0,131,149,8,43,18,68,7,320,138,71,23,220,102,0,7,4,0,15,9,0,27,18,0,3,0,38,143,0,116,0,0,466,153,178,17,0,18,40,0,71,38,0,0,45,
,Unincorporated Tas,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11,0,0,0,0,0,0,0,0,21,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
,No fixed address,40,0,178,89,352,201,22,0,8,19,0,18,9,102,5,55,11,32,11,44,60,15,45,31,4,0,1125,1792,50,29,56,121,19,55,96,62,46,72,389,5,85,11,3,89,0,5,124,21,3,12,0,29,602,0,188,7,0,227,185,312,29,16,41,62,11,279,54,0,0,259,
,TAS Undefined,9,0,112,8,67,40,3,3,0,15,5,11,3,57,9,41,7,4,14,44,18,3,30,19,0,0,89,84,7,16,5,18,3,74,49,21,15,105,66,11,27,3,0,15,0,0,14,11,3,3,0,13,90,0,85,3,0,104,72,88,13,3,6,27,0,19,18,0,0,81,
,Darwin Undefined,5,0,4,0,0,8,0,0,3,4,0,3,3,12,0,3,3,3,0,28,13,5,14,3,0,0,61,101,16,6,14,10,5,35,34,37,13,63,37,4,7,16,0,8,3,4,19,3,4,3,0,12,101,0,105,28,0,39,30,33,12,6,5,16,0,17,33,0,0,29,
,Alice Springs (T),8,0,41,7,3,0,0,0,17,0,3,9,3,52,10,11,60,11,24,84,74,14,32,15,29,0,244,353,8,77,113,117,20,544,677,348,41,792,272,14,5,99,4,205,3,12,77,95,20,37,0,186,701,0,1228,13,0,1129,1037,456,56,103,133,196,10,143,424,0,0,70,
,Alpurrurulam (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,
,Angurugu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,23,8,17,3,0,0,0,0,0,0,0,0,0,
