lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Republic of the Union of Myanmar),Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,"Bolivia, Plurinational State of",Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,"Venezuela, Bolivarian Republic of","South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Plantagenet (S),0,32,3605,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,383,0,8,51,22,0,7,11,0,9,0,3,35,0,0,0,26,5,0,6,0,0,0,4,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,41,3,25,3,0,0,0,6,4,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,6,0,0,0,271
Port Hedland (T),0,0,9256,0,0,789,0,0,18,3,0,0,0,0,0,0,0,0,0,0,3,20,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,4,62,27,0,0,53,0,3,10,9,36,0,0,0,17,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,9,3,7,0,3,4,0,7,0,23,0,8,3,0,7,0,3,3,0,0,0,0,0,3,0,0,13,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,0,3,0,0,0,6,0,0,50,7,0,0,52,63,146,44,5,0,0,25,7,0,0,7,0,3,0,15,0,0,0,0,108,6,7,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,38,0,3,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,7,0,0,0,0,0,159,3,0,0,7,79,0,15,0,3144
Quairading (S),0,0,910,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,38
Ravensthorpe (S),0,0,1618,0,0,82,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,12,0,0,0,10,0,0,0,0,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,5,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,6,0,0,0,158
Rockingham (C),0,0,65429,0,0,4893,0,0,54,0,0,0,0,0,0,0,0,0,0,0,75,59,0,7,14,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15861,21,267,2128,513,7,7,466,0,50,24,64,475,0,0,0,512,48,0,73,0,31,0,9,21,33,0,0,0,0,12,0,254,48,133,0,65,119,0,113,5,178,17,26,22,0,24,13,7,100,0,7,3,16,3,38,14,7,93,31,9,14,0,0,3,37,3,0,37,4,0,0,16,0,10,0,27,5,12,4,3,8,0,0,4,3,8,11,0,0,0,56,9,4,221,89,3,3,136,206,526,230,7,0,0,94,44,3,0,9,0,58,0,23,0,0,23,0,402,3,7,27,37,0,8,0,0,0,3,0,0,0,5,0,0,4,215,0,349,4,25,0,25,50,9,5,0,0,0,0,16,0,10,5,0,0,0,0,23,0,0,8,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,10,0,0,0,0,0,0,20,0,5,0,0,3,3,9,3,0,0,0,7,73,0,0,4,46,0,8,13,0,0,0,10,0,1695,3,7,11,55,317,0,38,0,5947
Roebourne (S),0,174,13570,0,0,1211,0,0,25,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,752,0,22,155,36,0,3,98,0,3,4,10,50,0,0,0,42,4,0,4,0,4,0,0,0,6,0,0,0,0,0,0,17,7,28,0,6,10,0,12,0,15,3,25,6,0,5,0,0,3,0,0,0,5,3,3,0,0,20,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,4,0,0,0,9,4,0,0,3,3,0,0,0,17,42,0,87,24,0,0,28,70,408,22,3,0,0,286,10,0,0,12,0,13,0,19,0,0,6,0,199,0,0,42,22,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,45,0,3,0,12,6,11,0,0,0,0,0,6,0,0,11,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,3,0,0,0,0,3,10,4,0,0,7,0,0,3,0,0,0,3,0,251,0,7,0,6,66,0,10,0,4617
Sandstone (S),0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Serpentine-Jarrahdale (S),0,175,12645,0,0,509,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2056,3,26,207,59,3,3,57,0,8,4,14,72,0,0,0,154,13,0,10,0,11,0,3,3,3,0,0,0,0,0,0,62,7,7,0,3,12,0,4,3,6,3,0,3,0,9,0,0,0,0,0,0,5,3,3,0,3,6,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,18,4,0,0,18,54,31,36,3,0,0,5,9,0,0,6,0,10,0,3,0,0,0,0,51,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,4,52,0,49,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,9,0,0,0,0,0,0,0,0,206,0,3,0,12,31,0,10,0,815
Shark Bay (S),0,0,662,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,3,3,4,0,0,3,0,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,41
South Perth (C),0,0,23602,0,0,830,0,3,31,4,0,0,0,0,0,0,0,0,0,0,0,24,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2665,9,60,526,108,7,0,349,0,29,23,98,193,0,0,0,157,44,0,23,0,13,0,0,39,21,0,0,0,0,3,0,256,8,20,0,23,27,0,34,15,60,11,13,59,0,19,7,0,22,0,8,0,19,6,28,11,9,122,44,16,10,0,0,5,41,48,0,36,3,0,0,4,0,10,3,253,79,11,16,19,29,16,8,59,20,40,32,12,0,0,123,19,3,155,177,3,60,610,1108,257,563,9,0,0,663,218,3,13,53,0,196,0,231,0,0,16,27,735,7,15,65,130,0,30,0,5,0,7,3,0,0,0,0,0,3,164,0,244,0,21,0,79,54,33,6,0,0,0,0,17,0,0,42,0,0,0,0,13,0,3,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,7,0,0,0,0,0,0,14,0,0,4,4,3,0,7,4,0,0,3,19,149,0,3,3,171,0,0,3,3,0,0,23,66,604,0,19,22,37,217,0,11,0,2634
Stirling (C),0,0,112872,0,0,5006,0,7,133,4,11,0,0,0,0,0,0,0,0,0,22,83,0,7,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11489,7,317,1812,395,9,26,1837,0,148,68,284,1045,0,0,0,717,210,0,97,0,58,0,15,57,114,0,0,0,0,8,0,4207,90,92,0,133,359,37,660,78,738,58,1257,1023,8,255,65,32,376,4,45,14,83,38,172,62,26,845,175,47,99,0,13,13,302,13,16,911,8,0,0,172,3,15,27,678,675,211,40,34,121,12,23,67,41,171,66,14,0,0,1243,93,28,654,2825,3,56,701,2182,1341,1068,88,0,0,2026,626,25,11,170,0,548,0,316,3,0,138,73,4634,11,112,297,545,0,408,0,8,0,10,9,6,0,21,0,0,3,619,0,926,0,88,0,419,137,155,7,0,0,7,0,72,0,25,55,0,0,0,3,171,0,3,40,0,4,0,0,0,0,3,3,0,6,0,0,3,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,41,111,11,0,0,4,73,19,0,147,0,7,0,77,0,16,100,17,12,0,20,52,0,0,165,320,723,0,3,42,529,0,20,33,4,43,0,92,213,3694,8,104,108,429,738,0,146,0,12827
Subiaco (C),0,0,9649,0,0,372,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1490,0,36,235,39,4,0,188,0,14,5,81,113,0,3,0,85,44,0,11,0,10,0,4,22,21,0,0,0,0,0,0,83,4,4,0,22,9,0,23,11,26,6,3,16,0,4,4,0,12,0,0,0,7,0,19,4,0,60,24,5,10,0,0,3,19,19,4,5,0,0,0,0,0,3,4,57,8,20,13,3,5,8,0,41,5,12,14,0,0,0,29,9,0,51,72,0,16,126,481,79,354,8,0,0,407,77,0,0,32,0,104,0,37,0,0,67,0,246,0,17,35,48,0,0,0,0,0,0,4,0,0,3,0,0,0,107,0,234,0,20,0,30,17,27,4,0,0,0,0,17,0,3,16,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,38,0,0,7,28,0,0,7,3,0,0,0,3,262,0,8,4,22,93,0,7,0,1169
Swan (C),0,177,69524,0,0,3941,0,0,38,8,0,0,0,0,0,0,0,0,0,0,13,56,0,6,21,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8079,3,123,1218,219,10,15,385,0,46,28,75,452,0,0,0,395,55,0,41,0,22,0,3,14,27,0,0,0,0,3,0,942,86,52,0,41,121,9,354,18,473,13,199,71,0,123,26,7,111,9,7,3,33,5,54,14,3,393,34,11,37,3,10,4,71,3,11,221,3,0,0,55,4,10,5,153,380,32,8,34,62,3,10,19,23,17,34,3,0,0,606,130,31,277,1615,0,15,221,917,1194,540,25,0,0,447,186,3,3,27,0,94,0,60,0,0,48,0,1687,0,12,125,286,0,247,3,3,0,5,3,0,0,4,0,0,8,149,0,315,0,28,0,38,51,17,0,4,0,3,0,15,0,11,4,0,0,0,3,80,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,9,3,0,32,0,0,0,27,0,0,6,0,3,3,9,6,0,0,12,84,292,0,0,5,290,0,6,9,0,6,0,69,59,1532,3,30,27,57,504,0,72,0,6212
Tammin (S),0,0,337,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18
Three Springs (S),0,0,480,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,0,41
Toodyay (S),0,0,3081,0,0,136,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,11,44,7,0,0,15,0,5,3,0,36,0,0,0,31,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,18,5,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,4,8,3,3,0,0,0,7,0,0,0,4,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,7,0,3,0,358
Trayning (S),0,0,297,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Upper Gascoyne (S),0,0,222,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Victoria Park (T),0,54,16625,0,0,935,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2067,3,62,372,79,0,3,302,0,19,12,64,156,0,0,0,141,33,0,17,0,17,0,5,10,15,0,0,0,0,3,0,408,13,7,0,22,17,0,15,0,39,10,8,20,0,35,5,0,20,3,3,0,11,7,21,4,4,108,44,12,7,0,0,3,20,47,0,21,0,0,0,3,0,4,11,132,78,6,9,7,27,32,0,64,4,53,22,0,0,0,180,19,3,128,190,0,21,500,813,289,340,5,0,0,769,194,3,12,61,0,158,0,290,0,0,42,6,1252,11,112,146,214,0,136,0,3,0,4,0,0,0,4,0,0,0,102,0,138,0,11,0,62,23,21,3,0,0,0,0,16,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,4,0,3,0,0,0,12,0,0,32,0,3,0,4,3,0,0,15,41,131,0,4,7,173,0,8,3,0,0,0,7,49,269,0,12,8,61,124,0,13,0,2599
