lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
Port Augusta (C),43,7152,51,36,3,79,4129,89,2403
Port Lincoln (C),68,8195,19,18,9,33,4296,116,1330
Port Pirie City and Dists (M),45,10879,22,37,0,48,4763,90,1437
Prospect (C),444,11615,752,360,12,326,4805,226,1408
Renmark Paringa (DC),71,5184,21,213,0,274,2412,61,1003
Robe (DC),4,795,3,0,3,0,417,9,154
Roxby Downs (M),24,2464,34,19,0,9,1448,43,662
Salisbury (C),5764,70031,1849,3088,33,893,34414,1027,12010
Southern Mallee (DC),7,1443,0,0,0,0,461,15,169
Streaky Bay (DC),6,1301,0,8,0,0,564,18,215
Tatiara (DC),28,4167,27,38,0,55,1743,52,443
Tea Tree Gully (C),813,58722,518,1004,38,610,25852,704,7207
The Coorong (DC),8,3407,3,0,0,20,1375,27,685
Tumby Bay (DC),6,1654,0,0,0,5,700,18,199
Unley (C),620,20604,425,397,54,262,10942,345,3202
Victor Harbor (C),87,8191,9,13,3,60,3691,106,1688
Wakefield (DC),18,4220,4,8,0,27,1709,51,626
Walkerville (M),160,4316,131,73,4,50,1629,58,575
Wattle Range (DC),24,6840,0,10,0,39,3630,90,980
West Torrens (C),1289,32457,1127,1415,48,939,13086,516,4072
Whyalla (C),105,11550,98,37,7,90,7419,138,2639
Wudinna (DC),4,919,0,0,0,6,218,11,89
Yankalilla (DC),28,2273,3,5,3,26,1528,51,480
Yorke Peninsula (DC),37,7376,8,8,0,31,2604,79,882
Unincorporated SA,13,2191,9,14,0,29,1314,39,836
No Usual Address (SA),50,1179,23,40,3,37,976,62,697
Albany (C),258,19133,48,77,22,169,10264,360,3317
Armadale (C),857,35162,509,607,48,484,17691,697,6236
Ashburton (S),127,4822,29,42,3,61,2984,93,1840
Augusta-Margaret River (S),247,5506,31,47,13,55,4338,147,1391
Bassendean (T),309,8297,86,209,20,125,4051,136,1167
Bayswater (C),2499,34929,1203,1763,532,690,14159,564,4929
Belmont (C),1156,19258,558,1870,20,435,7870,396,3648
Beverley (S),7,1076,0,0,0,17,326,20,123
Boddington (S),8,1115,4,28,0,9,595,26,434
Boyup Brook (S),8,1025,0,0,0,6,418,12,112
Bridgetown-Greenbushes (S),44,2491,3,3,3,41,1367,62,298
Brookton (S),0,577,0,0,0,0,239,25,95
Broome (S),187,8183,35,82,5,71,4087,139,2214
Broomehill-Tambellup (S),8,780,0,0,0,7,238,6,97
Bruce Rock (S),6,663,0,0,0,4,222,6,73
Bunbury (C),304,18629,136,170,14,158,8185,291,3463
Busselton (S),302,17972,37,94,10,125,8858,285,2653
Cambridge (T),324,15385,249,148,99,152,6721,193,1689
Canning (C),5011,46174,2790,4589,49,1179,18747,614,6367
Capel (S),80,8840,25,52,8,57,4070,117,1395
Carnamah (S),0,360,0,0,0,3,106,7,73
Carnarvon (S),165,3276,12,14,0,25,1370,59,862
Chapman Valley (S),6,766,0,4,0,0,259,13,119
Chittering (S),20,2666,0,10,5,11,1257,26,430
Claremont (T),114,5567,83,63,45,48,2284,80,994
Cockburn (C),1597,56659,631,873,68,591,21840,795,6624
Collie (S),49,5250,6,14,0,39,2726,76,962
Coolgardie (S),34,2078,8,16,4,22,1121,30,694
Coorow (S),6,646,0,0,0,7,313,5,88
Corrigin (S),3,734,0,0,0,0,251,6,63
Cottesloe (T),73,4328,23,5,26,26,2121,67,933
Cranbrook (S),9,641,0,3,0,11,284,7,126
Cuballing (S),0,537,0,0,3,3,225,12,82
Cue (S),5,130,0,0,0,3,75,4,55
Cunderdin (S),6,903,0,0,0,3,288,3,102
Dalwallinu (S),3,900,0,0,0,3,261,6,88
Dandaragan (S),10,1839,3,10,0,5,873,24,417
Dardanup (S),81,7541,9,90,0,27,3533,108,1011
Denmark (S),96,2340,9,3,5,64,2123,74,476
Derby-West Kimberley (S),41,4254,10,16,0,71,1279,77,2683
Donnybrook-Balingup (S),65,3008,9,27,0,32,1703,42,437
Dowerin (S),0,448,0,0,0,0,177,6,47
Dumbleyung (S),4,419,0,0,0,0,144,0,37
Dundas (S),14,555,5,5,0,4,298,10,246
East Fremantle (T),94,4044,16,22,7,66,2054,74,560
East Pilbara (S),155,5363,36,65,9,340,3036,163,2771
Esperance (S),85,7513,4,7,7,39,4177,95,1540
Exmouth (S),37,1203,5,0,0,3,846,25,268
Fremantle (C),503,13571,86,176,91,187,9169,384,2415
Geraldton-Greenough (C),280,23416,54,413,15,139,8366,279,3479
Gingin (S),50,2761,0,13,0,9,1225,21,601
Gnowangerup (S),3,806,0,0,0,7,311,6,135
Goomalling (S),0,680,0,0,3,0,202,5,85
Gosnells (C),3835,58355,1842,5594,34,1126,24539,891,10378
Halls Creek (S),4,2713,4,0,0,21,524,20,273
Harvey (S),122,14208,19,33,10,80,6349,160,2257
Irwin (S),26,2177,3,7,0,3,1026,45,281
Jerramungup (S),9,619,0,0,0,0,321,4,101
Joondalup (C),1761,98261,905,1261,217,900,37848,1188,10057
Kalamunda (S),483,32912,191,654,30,234,14111,523,4427
Kalgoorlie/Boulder (C),247,17095,225,163,24,128,8084,277,4866
Katanning (S),57,2495,10,384,0,6,898,15,316
Kellerberrin (S),0,814,0,0,6,3,255,3,97
Kent (S),0,344,0,4,0,3,146,3,19
Kojonup (S),9,1392,0,0,0,7,412,3,152
Kondinin (S),3,685,0,5,0,0,221,12,121
Koorda (S),0,278,0,0,0,3,130,0,24
Kulin (S),0,592,0,0,0,0,177,6,48
Kwinana (T),345,15556,170,225,17,215,8408,343,3951
Lake Grace (S),3,949,0,0,3,0,306,7,93
Laverton (S),5,729,3,0,0,4,290,11,185
Leonora (S),23,1052,3,9,0,12,677,31,706
Mandurah (C),677,43507,152,189,39,335,17712,579,6729
Manjimup (S),69,5192,21,20,8,42,2859,84,884
Meekatharra (S),16,571,0,0,0,15,390,24,359
Melville (C),2926,59539,1217,998,103,770,22637,728,6781
Menzies (S),0,148,0,0,0,14,119,3,107
Merredin (S),21,1983,3,9,0,12,923,29,303
Mingenew (S),0,313,0,0,0,0,124,0,41
Moora (S),7,1696,5,0,0,7,529,8,225
Morawa (S),13,556,0,0,0,7,227,7,80
Mosman Park (T),149,5206,94,78,12,56,2148,72,775
Mount Magnet (S),3,407,0,0,0,0,142,3,86
Mount Marshall (S),0,363,0,0,0,0,95,3,25
Mukinbudin (S),0,361,0,0,0,0,97,6,30
Mullewa (S),4,516,0,0,0,5,109,9,64
Mundaring (S),272,20033,82,68,24,236,10770,360,4682
Murchison (S),0,70,0,0,0,0,32,0,14
Murray (S),109,8624,0,12,9,60,3748,122,1468
Nannup (S),17,657,0,4,0,14,406,17,135
Narembeen (S),0,568,0,0,0,0,180,0,60
Narrogin (S),0,555,3,0,0,0,227,9,78
Narrogin (T),24,2738,9,9,0,25,1048,37,336
Nedlands (C),433,12412,241,236,107,131,5381,131,1457
Ngaanyatjarraku (S),3,1009,0,0,0,125,196,3,103
Northam (S),60,6439,8,9,3,57,2640,90,1248
Northampton (S),13,2068,0,3,0,22,781,18,294
Nungarin (S),0,143,0,0,0,3,68,0,16
Peppermint Grove (S),10,1027,7,12,10,7,300,0,152
Perenjori (S),8,519,0,3,0,0,252,20,112
Perth (C),852,6978,490,602,101,154,4268,159,3107
Pingelly (S),5,714,0,4,0,0,317,7,111
