lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Kojonup (S),8,13,177,104,282,10,222,1158
Kondinin (S),9,11,60,42,129,4,76,537
Koorda (S),0,5,21,8,69,0,33,279
Kulin (S),5,11,62,42,110,5,62,467
Kwinana (C),744,396,3178,2321,6948,216,3995,21126
Lake Grace (S),3,14,105,59,199,3,122,761
Laverton (S),16,13,58,49,261,6,211,545
Leonora (S),11,13,80,61,243,8,323,668
Mandurah (C),969,796,5293,5665,16537,545,6895,44109
Manjimup (S),94,88,552,475,1639,43,945,5410
Meekatharra (S),12,15,66,53,143,0,254,521
Melville (C),5414,2635,19036,8352,11675,847,6106,44017
Menzies (S),10,3,25,14,93,0,79,261
Merredin (S),21,32,192,154,546,12,327,2056
Mingenew (S),0,4,30,16,73,0,48,280
Moora (S),16,17,147,110,380,8,243,1506
Morawa (S),9,11,43,33,99,4,84,463
Mosman Park (T),755,250,2074,627,651,71,793,3542
Mount Magnet (S),6,0,22,13,61,0,128,248
Mount Marshall (S),0,0,30,20,69,0,45,359
Mukinbudin (S),4,3,39,21,92,0,44,348
Mundaring (S),842,709,3755,2980,6997,246,4422,18214
Murchison (S),0,0,8,4,15,0,45,81
Murray (S),104,121,758,905,3492,80,1569,9653
Nannup (S),22,24,100,104,232,6,133,700
Narembeen (S),5,7,59,30,85,0,81,543
Narrogin (S),44,60,336,278,868,30,639,2899
Nedlands (C),2374,680,5696,1333,1039,160,1155,8675
Ngaanyatjarraku (S),6,10,42,15,87,0,351,1085
Northam (S),106,74,537,573,1979,68,1642,6152
Northampton (S),19,25,159,187,637,23,432,1847
Nungarin (S),0,0,16,15,35,0,21,167
Peppermint Grove (S),118,32,444,105,75,6,110,742
Perenjori (S),8,4,32,27,153,0,76,319
Perth (C),2056,444,5623,1831,1875,218,3673,6084
Pingelly (S),4,4,46,69,171,6,151,699
Plantagenet (S),50,53,313,338,929,34,600,2765
Port Hedland (T),175,160,987,849,2977,64,2066,7182
Quairading (S),3,11,47,51,140,7,156,607
Ravensthorpe (S),13,9,108,116,294,14,228,945
Rockingham (C),1375,1130,7824,8616,26396,713,10308,68745
Sandstone (S),0,0,3,9,20,0,16,44
Serpentine-Jarrahdale (S),325,247,1722,1795,5689,129,2007,14922
Shark Bay (S),8,3,79,53,203,6,109,490
South Perth (C),3221,1223,9195,3314,4118,377,3452,17095
Stirling (C),9594,4637,36362,17205,27559,1728,15908,97216
Subiaco (C),2387,659,5231,1294,1176,158,1522,6938
Swan (C),2273,1341,11037,9371,24101,851,10114,74767
Tammin (S),0,6,32,16,44,0,51,260
Three Springs (S),8,0,39,34,97,0,58,367
Toodyay (S),67,53,271,328,917,25,504,2272
Trayning (S),5,6,16,15,50,0,60,205
Upper Gascoyne (S),10,0,5,5,29,0,48,184
Victoria Park (T),2090,786,6494,2845,4279,272,3889,14337
Victoria Plains (S),8,4,60,48,122,8,100,551
Vincent (C),2462,1117,8212,2592,3515,213,3100,12476
