lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
Mandurah (C),941,44274,380,270,50,435,26992,368,7099
Manjimup (S),70,4605,12,47,5,37,3428,37,1017
Meekatharra (S),10,405,0,0,0,8,348,4,287
Melville (C),2803,52699,1388,1094,104,774,31169,385,7662
Menzies (S),0,235,0,0,0,52,129,3,70
Merredin (S),12,1770,0,6,0,15,1195,16,333
Mingenew (S),5,258,0,0,0,0,142,0,54
Moora (S),4,1458,4,0,0,3,678,4,274
Morawa (S),8,407,8,0,0,4,226,0,84
Mosman Park (T),153,4359,101,52,12,46,3033,39,957
Mount Magnet (S),5,193,0,0,0,3,158,5,127
Mount Marshall (S),0,320,0,0,0,0,151,5,51
Mukinbudin (S),6,349,0,0,0,0,137,0,49
Mundaring (S),363,18240,101,81,30,228,13997,220,4899
Murchison (S),0,69,0,0,0,3,34,0,50
Murray (S),123,9005,21,28,13,52,5674,85,1697
Nannup (S),11,562,0,0,0,7,564,15,167
Narembeen (S),0,485,0,0,0,0,230,6,87
Narrogin (S),37,2927,26,10,0,19,1508,19,608
Nedlands (C),359,11368,273,180,101,109,6894,78,1758
Ngaanyatjarraku (S),3,609,0,4,0,82,119,3,786
Northam (S),65,5909,32,34,3,59,3298,53,1667
Northampton (S),29,1818,0,0,0,10,1075,13,382
Nungarin (S),0,126,0,0,0,0,99,0,26
Peppermint Grove (S),3,938,17,5,21,19,499,3,132
Perenjori (S),4,301,0,0,0,5,228,5,78
Perth (C),991,7185,869,717,103,172,7559,102,4103
Pingelly (S),3,654,0,0,0,0,329,0,155
Plantagenet (S),27,2312,9,97,4,42,1902,30,668
Port Hedland (T),192,6092,125,463,4,101,4910,89,2485
Quairading (S),0,589,0,0,0,0,282,0,146
Ravensthorpe (S),12,875,0,0,0,17,572,9,247
Rockingham (C),1241,62091,577,651,44,703,46931,754,12111
Sandstone (S),0,50,0,0,0,0,25,0,17
Serpentine-Jarrahdale (S),274,12963,322,232,10,400,9980,118,2540
Shark Bay (S),9,463,4,3,0,3,368,6,96
South Perth (C),1294,20282,708,1161,83,342,13744,211,4166
Stirling (C),6532,104537,5360,7123,2760,2516,61337,992,19048
Subiaco (C),487,7929,282,428,81,108,7949,79,2010
Swan (C),3658,66624,2853,4068,261,1823,41513,645,12394
Tammin (S),0,241,0,0,0,3,98,0,59
Three Springs (S),0,318,0,5,0,0,209,0,66
Toodyay (S),55,2226,0,8,0,31,1555,20,541
Trayning (S),0,171,0,0,0,0,106,0,65
Upper Gascoyne (S),0,68,0,0,0,0,143,5,59
Victoria Park (T),1074,14379,1105,1385,22,426,12316,173,4113
Victoria Plains (S),3,503,4,4,0,0,279,0,117
Vincent (C),926,13970,340,368,184,174,13703,178,3859
Wagin (S),18,1027,0,0,0,8,549,12,237
Wandering (S),3,222,5,0,0,0,153,4,59
Wanneroo (C),4983,96219,3404,4640,141,1665,60628,815,15718
Waroona (S),34,2289,0,6,0,28,1239,20,531
West Arthur (S),8,438,0,0,0,4,272,0,81
Westonia (S),3,163,0,0,0,0,88,0,49
Wickepin (S),5,372,0,0,0,0,274,0,67
Williams (S),4,552,0,0,0,0,318,8,104
